claim_id,event,timestamp,actor,details
CLM006,توصية القرار,2026-09-11 09:51:40,محرك القرار,التوصية بإصدار بيان رسمي عاجل
CLM006,توليد المسودة,2026-09-11 09:52:20,مولد الردود,إنشاء مسودة بيان رسمي عاجل
CLM006,مراجعة بشرية,2026-09-11 09:58:00,فريق التواصل المؤسسي,المسودة قيد المراجعة العاجلة
CLM007,تم الرصد,2026-09-08 17:30:00,محرك الرصد,رصد تساؤلات متفرقة
CLM007,استخراج الادعاء,2026-09-08 17:30:14,محرك الاستخراج,تحديد الجهة والخدمة المعنية بالادعاء
CLM007,اكتمال التحقق,2026-09-08 17:31:00,محرك التحقق,تصنيف الحالة كغير متحقق بثقة 58%
CLM007,حساب Risk Score,2026-09-08 17:31:20,محرك المخاطر,احتساب درجة الخطورة 44/100
CLM008,تم الرصد,2026-09-07 10:00:00,محرك الرصد,رصد المحتوى ضمن مواقع التواصل - Demo
CLM008,استخراج الادعاء,2026-09-07 10:00:18,محرك الاستخراج,تحديد الجهة والخدمة المعنية بالادعاء
CLM008,اكتمال التحقق,2026-09-07 10:01:00,محرك التحقق,تصنيف الحالة كمعلومات مضللة بثقة 88%
CLM008,حساب Risk Score,2026-09-07 10:01:20,محرك المخاطر,احتساب درجة الخطورة 80/100
CLM008,توصية القرار,2026-09-07 10:01:35,محرك القرار,التوصية بإصدار توضيح رسمي وتحديث صفحة الخدمة
CLM008,توليد المسودة,2026-09-07 10:02:10,مولد الردود,إنشاء مسودة توضيح رسمي
CLM008,مراجعة بشرية,2026-09-07 10:06:00,فريق التواصل المؤسسي,مراجعة وتعديل نص المسودة
CLM008,اعتماد بشري,2026-09-07 10:07:40,م. سارة القحطاني,اعتماد المسودة بعد المراجعة
CLM008,نشر رسمي,2026-09-07 10:08:10,فريق التواصل المؤسسي,نشر التوضيح الرسمي عبر القناة المعتمدة
CLM009,تم الرصد,2026-09-09 19:45:00,محرك الرصد,رصد المحتوى ضمن منتدى عام - Demo
CLM009,استخراج الادعاء,2026-09-09 19:45:16,محرك الاستخراج,تحديد الجهة والخدمة المعنية بالادعاء
CLM009,اكتمال التحقق,2026-09-09 19:46:00,محرك التحقق,تصنيف الحالة كغير متحقق بثقة 60%
CLM009,حساب Risk Score,2026-09-09 19:46:25,محرك المخاطر,احتساب درجة الخطورة 47/100
CLM010,تم الرصد,2026-09-11 07:05:00,محرك الرصد,رصد صورة معدّلة بصريًا
CLM010,استخراج الادعاء,2026-09-11 07:05:20,محرك الاستخراج,تحديد الجهة المنتحلة والخدمة المرتبطة
CLM010,اكتمال التحقق,2026-09-11 07:06:05,محرك التحقق,تصنيف الحالة كمحتوى منتحل بثقة 90%
CLM010,حساب Risk Score,2026-09-11 07:06:25,محرك المخاطر,احتساب درجة الخطورة 89/100
CLM010,توصية القرار,2026-09-11 07:06:45,محرك القرار,التوصية بإصدار بيان رسمي وتصعيد داخلي
CLM010,توليد المسودة,2026-09-11 07:07:30,مولد الردود,إنشاء مسودة بيان توضيحي
CLM010,مراجعة بشرية,2026-09-11 07:15:00,فريق أمن المعلومات,المسودة قيد المراجعة حاليًا
CLM011,تم الرصد,2026-09-10 12:30:00,محرك الرصد,رصد المحتوى ضمن تطبيقات مراسلة - Demo
CLM011,استخراج الادعاء,2026-09-10 12:30:15,محرك الاستخراج,تحديد الجهة والخدمة المعنية بالادعاء
CLM011,اكتمال التحقق,2026-09-10 12:31:00,محرك التحقق,تصنيف الحالة كمعلومات غير صحيحة بثقة 72%
CLM011,حساب Risk Score,2026-09-10 12:31:25,محرك المخاطر,احتساب درجة الخطورة 69/100
CLM012,تم الرصد,2026-09-06 09:00:00,محرك الرصد,رصد إعادة تداول تعميم رسمي
CLM012,استخراج الادعاء,2026-09-06 09:00:10,محرك الاستخراج,تحديد الجهة والخدمة المعنية بالادعاء
CLM012,اكتمال التحقق,2026-09-06 09:00:45,محرك التحقق,تصنيف الحالة كمعلومة صحيحة بثقة 95%
CLM012,حساب Risk Score,2026-09-06 09:01:00,محرك المخاطر,احتساب درجة الخطورة 32/100
CLM012,توصية القرار,2026-09-06 09:01:10,محرك القرار,التوصية بعدم التدخل ومراقبة اعتيادية
CLM012,إغلاق الحالة,2026-09-06 09:02:00,فريق التواصل المؤسسي,إغلاق الحالة دون الحاجة لاستجابة رسمية
